prodvec,modelvec,newmodv,model_year,id,firmid,market,hpwt,space,air,mpd,price,mpg,quantity,share,share_out,year,domestic,japan,european
AMGREM,AMGREM,AMGREM71,71,129,15,1,0.528997,1.1502,0,1.888146,4.935802,1.697,70.096,0.001051,0.880106,71,1,0,0
AMHORN,AMHORN,AMHORN71,71,130,15,1,0.494324,1.278,0,1.935989,5.516049,1.74,44.678,0.00067,0.880106,71,1,0,0
AMJAVL,AMJAVL,AMJAVL71,71,132,15,1,0.467613,1.4592,0,1.716799,7.108642,1.543,22.705,0.000341,0.880106,71,1,0,0
AMMATA,AMMATA,AMMATA71,71,134,15,1,0.42654,1.6068,0,1.687871,6.839506,1.517,34.821,0.000522,0.880106,71,1,0,0
AMAMBS,AMAMBS,AMAMBS71,71,136,15,1,0.452489,1.6458,0,1.504286,8.928395,1.352,29.499,0.000442,0.880106,71,1,0,0
BKSKYL,BKSKYL,BKSKYL71,71,138,19,1,0.450871,1.6224,0,1.726813,7.153086,1.552,183.763,0.002756,0.880106,71,1,0,0
BKLSAB,BKLSAB,BKLSAB71,71,141,19,1,0.564002,1.768,0,1.727926,9.85679,1.553,176.731,0.002651,0.880106,71,1,0,0
BKCNTU,BKCNTU,BKCNTU71,71,143,19,1,0.731368,1.768,0,2.194121,11.269136,1.972,32.494,0.000487,0.880106,71,1,0,0
BKELCT,BKELCT,BKELCT71,71,144,19,1,0.719014,1.816,0,2.056154,12.135802,1.848,161.031,0.002415,0.880106,71,1,0,0
BKRIVE,BKRIVE,BKRIVE71,71,145,19,1,0.728324,1.744,0,1.978269,12.97037,1.778,36.765,0.000551,0.880106,71,1,0,0
CDCALA,CDCALA,CDCALA71,71,146,19,1,0.732484,1.808,0,1.918187,15,1.724,8.481,0.000127,0.880106,71,1,0,0
CDDEVI,CDDEVI,CDDEVI71,71,147,19,1,0.729387,1.808,0,1.912624,16.044444,1.719,180.332,0.002705,0.880106,71,1,0,0
CDELDR,CDELDR,CDELDR71,71,148,19,1,0.780749,1.776,0,2.018324,18.22963,1.814,35.613,0.000534,0.880106,71,1,0,0
CDFLTW,CDFLTW,CDFLTW71,71,149,19,1,0.716511,1.832,0,1.892596,19.167901,1.701,22.194,0.000333,0.880106,71,1,0,0
CVVEGA,CVVEGA,CVVEGA71,71,150,19,1,0.419385,1.122,0,2.211923,5.160494,1.988,267.033,0.004005,0.880106,71,1,0,0
CVNOVA,CVNOVA,CVNOVA71,71,151,19,1,0.487231,1.387,0,1.802473,5.938272,1.62,235.553,0.003533,0.880106,71,1,0,0
CVCHEV,CVCHEV,CVCHEV71,71,153,19,1,0.451713,1.5352,0,1.682308,6.609877,1.512,335.378,0.00503,0.880106,71,1,0,0
CVCAMA,CVCAMA,CVCAMA71,71,158,19,1,0.468649,1.41,0,1.62,7.212346,1.456,120.803,0.001812,0.880106,71,1,0,0
CVMNTC,CVMNTC,CVMNTC71,71,160,19,1,0.702408,1.5732,0,1.604423,8.434568,1.442,145.787,0.002186,0.880106,71,1,0,0
CVBISC,CVBISC,CVBISC71,71,161,19,1,0.388532,1.736,0,1.4175,7.644444,1.274,25.357,0.00038,0.880106,71,1,0,0
